dataset,measure,k,method,estimate,se,abs_shift_vs_reml
CD001909_pub4_data,OR,80,HKSJ,0.567117983321718,0.0823700443855042,0
CD001909_pub4_data,OR,80,QSE,0.567117983321718,0.082362522256402,0
CD001909_pub4_data,OR,80,LTH,0.565116891152072,0.0743549469907016,0.00200109216964528
CD001909_pub4_data,OR,80,RMR,0.577179288828777,0.0834110015649863,0.010061305507059
CD001909_pub4_data,OR,80,CRT,0.596330569392864,0.079466062049283,0.0292125860711469
CD001909_pub4_data,OR,80,AWH,0.585199153134674,0.0823550030224016,0.0180811698129567
CD001909_pub4_data,OR,80,MRSTACK,0.577799575927527,0.106215824924713,0.0106815926058097
CD001909_pub4_data,OR,80,SAFE,0.566964491504151,0.0817770953764753,0.000153491817566964
CD001909_pub4_data,OR,80,CPC,0.612155341022958,0.628314980358581,0.0450373577012405
CD001909_pub4_data,OR,80,DTM,0.563863329426496,0.0851375762094745,0.00325465389522184
CD001909_pub4_data,OR,80,BSC,0.567117983395707,0.0823550030224016,7.3989481208514e-11
CD001909_pub4_data,OR,80,HGAM,0.196525496707581,0.305276009210864,0.370592486614137
CD001909_pub4_data,OR,80,MTLE,0.574752186291205,0.117969469264295,0.00763420296948714
CD001909_pub4_data,OR,80,PBM,0.554791965985494,0.0988364047147514,0.0123260173362235
CD001909_pub4_data,OR,80,FATIHA,0.567119120634255,0.0823582914622439,1.13731253748028e-06
CD002042_pub6_data,OR,80,REML,-0.396145900816879,0.0995591980488147,0
CD002042_pub6_data,OR,80,HKSJ,-0.396145900816879,0.0995182384139876,0
CD002042_pub6_data,OR,80,QSE,-0.396145900816879,0.0995387119109022,0
CD002042_pub6_data,OR,80,LTH,-0.396072551393076,0.0831689575532956,7.33494238033261e-05
CD002042_pub6_data,OR,80,RMR,-0.290627733590839,0.101496812242115,0.105518167226041
CD002042_pub6_data,OR,80,CRT,-0.269886056513304,0.0720469465633533,0.126259844303576
CD002042_pub6_data,OR,80,AWH,-0.259697746698728,0.0995591986766263,0.136448154118151
CD002042_pub6_data,OR,80,MRSTACK,-0.385557720328135,0.182140802356461,0.0105881804887441
CD002042_pub6_data,OR,80,SAFE,-0.396115290938005,0.0930581283127402,3.06098788740994e-05
CD002042_pub6_data,OR,80,CPC,0.0415753037056012,0.144353517436538,0.437721204522481
CD002042_pub6_data,OR,80,DTM,-0.39606041587174,0.105458631286907,8.54849451391582e-05
CD002042_pub6_data,OR,80,BSC,-0.396145900818986,0.0995591986766263,2.10687023383116e-12
CD002042_pub6_data,OR,80,HGAM,-0.27542165568312,0.368983845520673,0.12072424513376
CD002042_pub6_data,OR,80,MTLE,-0.398544718332678,0.138988174052763,0.0023988175157984
CD002042_pub6_data,OR,80,PBM,-0.370473078757806,0.09321461871304,0.0256728220590736
CD002042_pub6_data,OR,80,FATIHA,-0.396055916216497,0.0970873661306917,8.9984600382842e-05
CD002052_pub4_data,OR,37,REML,0.50144678072805,0.183300709733087,0
CD002052_pub4_data,OR,37,HKSJ,0.50144678072805,0.166506277444301,0
CD002052_pub4_data,OR,37,QSE,0.50144678072805,0.174299572557364,0
CD002052_pub4_data,OR,37,LTH,0.485357117230717,0.173630270172808,0.0160896634973335
CD002052_pub4_data,OR,37,RMR,0.488529124543231,0.186313448978142,0.012917656184819
CD002052_pub4_data,OR,37,CRT,0.431941039866732,0.145761551850075,0.069505740861318
CD002052_pub4_data,OR,37,AWH,0.529539610803693,0.183300711053402,0.0280928300756432
CD002052_pub4_data,OR,37,MRSTACK,0.478591133990462,0.203542187986947,0.0228556467375884
CD002052_pub4_data,OR,37,SAFE,0.495367517363168,0.177413747734051,0.00607926336488246
CD002052_pub4_data,OR,37,CPC,0.445493328351154,0.826270027157654,0.0559534523768962
CD002052_pub4_data,OR,37,DTM,0.499816311895859,0.186724575524102,0.00163046883219131
CD002052_pub4_data,OR,37,BSC,0.501446780873758,0.183300711053402,1.45707557130947e-10
CD002052_pub4_data,OR,37,HGAM,0.122376686707979,0.405408013617876,0.379070094020072
CD002052_pub4_data,OR,37,MTLE,0.504818265251143,0.360940242576502,0.00337148452309288
CD002052_pub4_data,OR,37,PBM,0.471195648036755,0.192043521608674,0.0302511326912955
CD002052_pub4_data,OR,37,FATIHA,0.495365269956536,0.177548911687543,0.00608151077151387
CD002112_pub2_data,OR,80,REML,0.315113189518807,0.0773817837219912,0
CD002112_pub2_data,OR,80,HKSJ,0.315113189518807,0.0793785705693145,0
CD002112_pub2_data,OR,80,QSE,0.315113189518807,0.0783611029013718,5.55111512312578e-17
CD002112_pub2_data,OR,80,LTH,0.311778549870459,0.0705075979628093,0.00333463964834868
CD002112_pub2_data,OR,80,RMR,0.317031012079867,0.0784137524082406,0.00191782256105988
CD002112_pub2_data,OR,80,CRT,0.315113189518807,0.0793785705693145,0
CD002112_pub2_data,OR,80,AWH,0.32129507859764,0.0773817845503618,0.00618188907883227
CD002112_pub2_data,OR,80,MRSTACK,0.246233353037736,0.206349243201965,0.0688798364810717
CD002112_pub2_data,OR,80,SAFE,0.315173948756783,0.0782355815163794,6.07592379758271e-05
CD002112_pub2_data,OR,80,CPC,0.289910736821084,0.596106282988874,0.0252024526977239
